file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\UtilityClasses\EntityManagerUtil.java,lk.ijse.dep.UtilityClasses.EntityManagerUtil,class,3,7,4,3,6,1,0,5,4,0.5,1.0,1.0,4,1,2,2,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,30,3,0,0,1,0,2,0,7,0,7,1,0,0,0,20,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\UtilityClasses\Order.java,lk.ijse.dep.UtilityClasses.Order,class,0,3,3,0,12,1,0,0,36,0.75,0.22727273,0.8333333,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,46,5,0,0,0,0,0,0,10,0,5,0,0,0,0,13,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Entities\Item.java,lk.ijse.dep.Entities.Item,class,5,12,7,5,12,2,0,0,24,0.7166667,0.3181818,0.6818182,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,45,6,0,0,0,0,6,0,8,2,5,0,0,0,0,20,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\UtilityClasses\SearchTableHelper.java,lk.ijse.dep.UtilityClasses.SearchTableHelper,class,0,4,4,0,12,1,0,0,36,0.75,0.22727273,0.8333333,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,46,5,0,0,0,0,0,0,10,0,5,0,0,0,0,15,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\custom\CustomerBO.java,lk.ijse.dep.Business.custom.CustomerBO,interface,2,4,2,2,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\DAO\custom\OrderDetailsDAO.java,lk.ijse.dep.DAO.DAO.custom.OrderDetailsDAO,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Entities\OrderItems.java,lk.ijse.dep.Entities.OrderItems,class,8,14,6,8,11,2,0,0,19,0.70454544,0.3272727,0.4,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,40,5,0,0,0,0,7,0,7,2,4,0,0,0,0,18,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\ItemBOImpl.java,lk.ijse.dep.Business.impl.ItemBOImpl$Anonymous1,anonymous,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\Business\impl\ItemBOImpl.java,lk.ijse.dep.Business.impl.ItemBOImpl,class,12,13,1,12,7,1,0,19,0,0.26666668,1.0,1.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,2,36,3,1,0,0,0,0,0,2,0,4,2,1,0,0,26,1,0
C:\Users\MYPC\WholeSaleMavenSpringJPA-master\WholeSaleMavenSpringJPA-master\Tst\src\main\java\lk\ijse\dep\DAO\custom\Impl\CustomerDAOImpl.java,lk.ijse.dep.DAO.custom.Impl.CustomerDAOImpl,class,5,7,2,5,9,1,0,13,0,0.0,1.0,1.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,34,4,1,0,0,0,3,2,6,0,6,1,0,0,0,34,1,0
